i,j,x,y,power
9,10,-7.50,-17.00,548.57
10,10,7.50,-17.00,548.57
11,10,-9.00,-17.00,546.64
12,10,9.00,-17.00,546.64
13,10,-10.50,-17.00,544.54
14,10,10.50,-17.00,544.54
15,10,-12.00,-17.00,542.32
16,10,12.00,-17.00,542.32
17,10,-13.50,-17.00,540.07
18,10,13.50,-17.00,540.07
19,10,-15.00,-17.00,554.87
0,11,0.00,-18.50,610.38
1,11,-1.50,-18.50,610.15
2,11,1.50,-18.50,610.15
3,11,-3.00,-18.50,609.49
4,11,3.00,-18.50,609.49
5,11,-4.50,-18.50,608.39
6,11,4.50,-18.50,608.39
7,11,-6.00,-18.50,588.13
8,11,6.00,-18.50,588.13
9,11,-7.50,-18.50,586.37
10,11,7.50,-18.50,586.37
11,11,-9.00,-18.50,584.32
12,11,9.00,-18.50,584.32
13,11,-10.50,-18.50,582.04
14,11,10.50,-18.50,582.04
15,11,-12.00,-18.50,561.16
16,11,12.00,-18.50,561.16
17,11,-13.50,-18.50,558.76
18,11,13.50,-18.50,558.76
19,11,-15.00,-18.50,556.33
0,12,0.00,-20.00,629.23
1,12,-1.50,-20.00,629.01
2,12,1.50,-20.00,629.01
3,12,-3.00,-20.00,628.36
4,12,3.00,-20.00,628.36
5,12,-4.50,-20.00,627.28
6,12,4.50,-20.00,627.28
7,12,-6.00,-20.00,625.81
8,12,6.00,-20.00,625.81
9,12,-7.50,-20.00,623.97
10,12,7.50,-20.00,623.97
11,12,-9.00,-20.00,621.81
12,12,9.00,-20.00,621.81
13,12,-10.50,-20.00,619.35
14,12,10.50,-20.00,619.35
15,12,-12.00,-20.00,616.65
16,12,12.00,-20.00,616.65
17,12,-13.50,-20.00,595.75
18,12,13.50,-20.00,595.75
19,12,-15.00,-20.00,574.94
0,13,0.00,-21.50,629.02
1,13,-1.50,-21.50,628.81
2,13,1.50,-21.50,628.81
3,13,-3.00,-21.50,628.21
4,13,3.00,-21.50,628.21
5,13,-4.50,-21.50,627.21
6,13,4.50,-21.50,627.21
7,13,-6.00,-21.50,625.84
8,13,6.00,-21.50,625.84
9,13,-7.50,-21.50,624.13
10,13,7.50,-21.50,624.13
11,13,-9.00,-21.50,622.10
12,13,9.00,-21.50,622.10
13,13,-10.50,-21.50,619.80
14,13,10.50,-21.50,619.80
15,13,-12.00,-21.50,617.27
16,13,12.00,-21.50,617.27
17,13,-13.50,-21.50,614.53
18,13,13.50,-21.50,614.53
19,13,-15.00,-21.50,611.63
0,14,0.00,-23.00,628.65
1,14,-1.50,-23.00,628.47
2,14,1.50,-23.00,628.47
3,14,-3.00,-23.00,627.90
4,14,3.00,-23.00,627.90
5,14,-4.50,-23.00,626.98
6,14,4.50,-23.00,626.98
7,14,-6.00,-23.00,625.70
8,14,6.00,-23.00,625.70
9,14,-7.50,-23.00,624.11
10,14,7.50,-23.00,624.11
11,14,-9.00,-23.00,622.22
12,14,9.00,-23.00,622.22
13,14,-10.50,-23.00,620.07
14,14,10.50,-23.00,620.07
15,14,-12.00,-23.00,617.69
16,14,12.00,-23.00,617.69
17,14,-13.50,-23.00,615.12
18,14,13.50,-23.00,615.12
19,14,-15.00,-23.00,612.38
0,15,0.00,-24.50,628.18
1,15,-1.50,-24.50,628.00
2,15,1.50,-24.50,628.00
3,15,-3.00,-24.50,627.48
4,15,3.00,-24.50,627.48
5,15,-4.50,-24.50,626.62
6,15,4.50,-24.50,626.62
7,15,-6.00,-24.50,625.44
8,15,6.00,-24.50,625.44
9,15,-7.50,-24.50,623.96
10,15,7.50,-24.50,623.96
11,15,-9.00,-24.50,622.19
12,15,9.00,-24.50,622.19
13,15,-10.50,-24.50,620.18
14,15,10.50,-24.50,620.18
15,15,-12.00,-24.50,617.95
16,15,12.00,-24.50,617.95
17,15,-13.50,-24.50,615.53
18,15,13.50,-24.50,615.53
19,15,-15.00,-24.50,612.95
0,16,0.00,-26.00,627.62
1,16,-1.50,-26.00,627.45
2,16,1.50,-26.00,627.45
3,16,-3.00,-26.00,626.97
4,16,3.00,-26.00,626.97
5,16,-4.50,-26.00,626.17
6,16,4.50,-26.00,626.17
7,16,-6.00,-26.00,625.07
8,16,6.00,-26.00,625.07
9,16,-7.50,-26.00,623.69
10,16,7.50,-26.00,623.69
11,16,-9.00,-26.00,622.05
12,16,9.00,-26.00,622.05
13,16,-10.50,-26.00,620.17
14,16,10.50,-26.00,620.17
15,16,-12.00,-26.00,618.08
16,16,12.00,-26.00,618.08
17,16,-13.50,-26.00,615.80
18,16,13.50,-26.00,615.80
19,16,-15.00,-26.00,613.37
0,17,0.00,-27.50,626.99
1,17,-1.50,-27.50,626.84
2,17,1.50,-27.50,626.84
3,17,-3.00,-27.50,626.39
4,17,3.00,-27.50,626.39
5,17,-4.50,-27.50,625.65
6,17,4.50,-27.50,625.65
7,17,-6.00,-27.50,624.63
8,17,6.00,-27.50,624.63
9,17,-7.50,-27.50,623.34
10,17,7.50,-27.50,623.34
11,17,-9.00,-27.50,621.81
12,17,9.00,-27.50,621.81
13,17,-10.50,-27.50,620.05
14,17,10.50,-27.50,620.05
15,17,-12.00,-27.50,618.09
16,17,12.00,-27.50,618.09
17,17,-13.50,-27.50,615.95
18,17,13.50,-27.50,615.95
19,17,-15.00,-27.50,613.66
0,18,0.00,-29.00,626.32
1,18,-1.50,-29.00,626.18
2,18,1.50,-29.00,626.18
3,18,-3.00,-29.00,625.76
4,18,3.00,-29.00,625.76
5,18,-4.50,-29.00,625.07
6,18,4.50,-29.00,625.07
7,18,-6.00,-29.00,624.12
8,18,6.00,-29.00,624.12
9,18,-7.50,-29.00,622.92
10,18,7.50,-29.00,622.92
11,18,-9.00,-29.00,621.49
12,18,9.00,-29.00,621.49
13,18,-10.50,-29.00,619.84
14,18,10.50,-29.00,619.84
15,18,-12.00,-29.00,618.01
16,18,12.00,-29.00,618.01
17,18,-13.50,-29.00,616.00
18,18,13.50,-29.00,616.00
19,18,-15.00,-29.00,613.84
0,19,0.00,-30.50,625.61
1,19,-1.50,-30.50,625.48
2,19,1.50,-30.50,625.48
3,19,-3.00,-30.50,625.09
4,19,3.00,-30.50,625.09
5,19,-4.50,-30.50,624.45
6,19,4.50,-30.50,624.45
7,19,-6.00,-30.50,623.57
8,19,6.00,-30.50,623.57
9,19,-7.50,-30.50,622.45
10,19,7.50,-30.50,622.45
11,19,-9.00,-30.50,621.11
12,19,9.00,-30.50,621.11
13,19,-10.50,-30.50,619.57
14,19,10.50,-30.50,619.57
15,19,-12.00,-30.50,617.85
16,19,12.00,-30.50,617.85
17,19,-13.50,-30.50,615.96
18,19,13.50,-30.50,615.96
19,19,-15.00,-30.50,613.92
